order_id,customer_id,order_date,amount,payment_method,status,year,month,quarter
O00044,C0044,2024-08-18 00:00:00,391.91,pix,paid,2024,8,3
O00045,C0038,2024-09-27 00:00:00,793.28,pix,paid,2024,9,3
O00046,C0045,2024-08-08 00:00:00,811.52,credit_card,refunded,2024,8,3
O00047,C0051,2024-07-06 00:00:00,346.16,debit_card,paid,2024,7,3
O00048,C0005,2024-09-03 00:00:00,623.98,credit_card,cancelled,2024,9,3
O00049,C0053,2024-09-01 00:00:00,122.62,boleto,cancelled,2024,9,3
O00050,C0046,2024-07-20 00:00:00,427.83,boleto,refunded,2024,7,3
O00051,C0052,2024-09-07 00:00:00,741.54,debit_card,cancelled,2024,9,3
O00052,C0053,2024-09-14 00:00:00,273.27,pix,paid,2024,9,3
O00053,C0018,2024-08-27 00:00:00,250.57,debit_card,refunded,2024,8,3
O00054,C0040,2024-09-24 00:00:00,375.57,credit_card,cancelled,2024,9,3
O00055,C0055,2024-08-11 00:00:00,193.2,pix,paid,2024,8,3
O00056,C0052,2024-08-03 00:00:00,339.81,boleto,refunded,2024,8,3
O00057,C0001,2024-09-05 00:00:00,901.96,credit_card,paid,2024,9,3
O00059,C0042,2024-09-01 00:00:00,439.56,credit_card,paid,2024,9,3
O00060,C0019,2024-07-29 00:00:00,399.07,pix,paid,2024,7,3
O00061,C0043,2024-09-13 00:00:00,366.34,boleto,cancelled,2024,9,3
O00062,C0048,2024-09-09 00:00:00,330.98,debit_card,paid,2024,9,3
O00063,C0020,2024-08-02 00:00:00,238.25,pix,paid,2024,8,3
O00064,C0008,2024-09-07 00:00:00,904.56,pix,paid,2024,9,3
O00065,C0014,2024-08-31 00:00:00,280.76,boleto,paid,2024,8,3
O00067,C0020,2024-07-02 00:00:00,679.92,pix,paid,2024,7,3
O00068,C0003,2024-07-07 00:00:00,536.86,pix,cancelled,2024,7,3
O00069,C0007,2024-07-02 00:00:00,556.01,debit_card,cancelled,2024,7,3
O00070,C0029,2024-08-13 00:00:00,195.54,credit_card,paid,2024,8,3
O00071,C0056,2024-08-31 00:00:00,130.53,credit_card,cancelled,2024,8,3
O00072,C0032,2024-07-10 00:00:00,558.74,credit_card,paid,2024,7,3
O00074,C0008,2024-09-10 00:00:00,732.11,pix,refunded,2024,9,3
O00075,C0025,2024-08-27 00:00:00,865.37,boleto,refunded,2024,8,3
O00077,C0048,2024-07-13 00:00:00,901.52,pix,paid,2024,7,3
O00078,C0017,2024-09-23 00:00:00,100.1,pix,paid,2024,9,3
O00079,C0036,2024-07-10 00:00:00,169.79,debit_card,cancelled,2024,7,3
O00080,C0045,2024-09-15 00:00:00,459.67,credit_card,paid,2024,9,3
O00081,C0019,2024-09-29 00:00:00,286.51,debit_card,paid,2024,9,3
O00082,C0044,2024-07-30 00:00:00,879.62,pix,cancelled,2024,7,3
O00083,C0008,2024-09-08 00:00:00,232.95,pix,paid,2024,9,3
O00084,C0053,2024-07-19 00:00:00,91.05,pix,paid,2024,7,3
O00085,C0039,2024-09-11 00:00:00,877.1,debit_card,paid,2024,9,3
O00086,C0030,2024-09-27 00:00:00,306.28,debit_card,paid,2024,9,3
O00087,C0033,2024-09-08 00:00:00,481.76,credit_card,refunded,2024,9,3
O00088,C0003,2024-08-25 00:00:00,704.44,boleto,paid,2024,8,3
O00090,C0037,2024-07-06 00:00:00,730.88,pix,cancelled,2024,7,3
O00091,C0034,2024-09-22 00:00:00,434.06,boleto,paid,2024,9,3
O00092,C0038,2024-08-25 00:00:00,612.18,debit_card,paid,2024,8,3
O00093,C0031,2024-08-14 00:00:00,402.72,boleto,paid,2024,8,3
O00094,C0055,2024-07-21 00:00:00,330.07,debit_card,paid,2024,7,3
O00095,C0043,2024-08-21 00:00:00,777.55,credit_card,cancelled,2024,8,3
O00096,C0006,2024-08-10 00:00:00,258.47,credit_card,cancelled,2024,8,3
O00097,C0056,2024-09-04 00:00:00,788.06,credit_card,refunded,2024,9,3
O00098,C0030,2024-08-22 00:00:00,75.14,boleto,refunded,2024,8,3
O00099,C0049,2024-09-02 00:00:00,603.5,credit_card,paid,2024,9,3
O00100,C0018,2024-09-09 00:00:00,146.19,boleto,cancelled,2024,9,3
O00101,C0057,2024-09-28 00:00:00,473.36,credit_card,refunded,2024,9,3
O00102,C0052,2024-07-31 00:00:00,681.55,boleto,refunded,2024,7,3
O00103,C0001,2024-09-09 00:00:00,402.39,pix,paid,2024,9,3
O00104,C0030,2024-07-16 00:00:00,624.13,pix,cancelled,2024,7,3
O00105,C0060,2024-08-07 00:00:00,495.71,boleto,cancelled,2024,8,3
O00106,C0054,2024-08-31 00:00:00,931.73,pix,cancelled,2024,8,3
O00107,C0036,2024-07-19 00:00:00,379.82,pix,paid,2024,7,3
O00108,C0018,2024-08-23 00:00:00,339.38,boleto,paid,2024,8,3
O00109,C0019,2024-08-08 00:00:00,799.67,debit_card,paid,2024,8,3
O00110,C0029,2024-09-07 00:00:00,473.02,boleto,refunded,2024,9,3
O00111,C0049,2024-09-08 00:00:00,373.92,boleto,paid,2024,9,3
O00112,C0045,2024-07-31 00:00:00,553.91,pix,cancelled,2024,7,3
O00113,C0003,2024-08-10 00:00:00,713.85,debit_card,cancelled,2024,8,3
O00114,C0043,2024-09-22 00:00:00,932.26,debit_card,paid,2024,9,3
O00115,C0009,2024-09-03 00:00:00,917.95,boleto,paid,2024,9,3
O00116,C0056,2024-08-26 00:00:00,117.23,debit_card,paid,2024,8,3
O00117,C0047,2024-07-19 00:00:00,404.23,pix,paid,2024,7,3
O00118,C0031,2024-08-03 00:00:00,338.17,debit_card,paid,2024,8,3
O00119,C0055,2024-08-12 00:00:00,813.42,debit_card,paid,2024,8,3
O00120,C0041,2024-09-01 00:00:00,831.95,credit_card,refunded,2024,9,3
O00122,C0048,2024-07-12 00:00:00,426.42,credit_card,paid,2024,7,3
O00123,C0029,2024-07-22 00:00:00,666.95,credit_card,paid,2024,7,3
O00124,C0021,2024-07-08 00:00:00,296.37,boleto,cancelled,2024,7,3
O00125,C0010,2024-08-01 00:00:00,516.33,pix,paid,2024,8,3
O00126,C0012,2024-07-11 00:00:00,588.78,debit_card,refunded,2024,7,3
O00127,C0044,2024-07-31 00:00:00,485.34,pix,paid,2024,7,3
O00128,C0030,2024-09-20 00:00:00,259.93,boleto,paid,2024,9,3
O00129,C0058,2024-08-29 00:00:00,858.62,pix,paid,2024,8,3
O00130,C0029,2024-08-14 00:00:00,938.58,boleto,cancelled,2024,8,3
O00131,C0045,2024-08-02 00:00:00,447.57,boleto,paid,2024,8,3
O00132,C0025,2024-08-31 00:00:00,123.65,debit_card,refunded,2024,8,3
O00133,C0023,2024-09-12 00:00:00,298.68,boleto,paid,2024,9,3
O00134,C0054,2024-09-23 00:00:00,391.12,credit_card,refunded,2024,9,3
O00135,C0056,2024-09-26 00:00:00,744.94,credit_card,refunded,2024,9,3
O00136,C0048,2024-09-02 00:00:00,795.38,boleto,paid,2024,9,3
O00137,C0039,2024-08-15 00:00:00,227.58,pix,refunded,2024,8,3
O00138,C0017,2024-09-25 00:00:00,723.91,pix,paid,2024,9,3
O00139,C0058,2024-09-19 00:00:00,622.87,boleto,cancelled,2024,9,3
O00140,C0003,2024-09-13 00:00:00,362.5,pix,paid,2024,9,3
O00141,C0059,2024-08-07 00:00:00,327.22,debit_card,paid,2024,8,3
O00142,C0013,2024-07-17 00:00:00,752.52,boleto,refunded,2024,7,3
O00143,C0033,2024-08-04 00:00:00,793.19,boleto,cancelled,2024,8,3
O00145,C0030,2024-07-10 00:00:00,155.2,pix,cancelled,2024,7,3
O00146,C0055,2024-09-10 00:00:00,363.34,debit_card,paid,2024,9,3
O00147,C0017,2024-09-07 00:00:00,139.32,boleto,paid,2024,9,3
O00148,C0038,2024-08-18 00:00:00,785.74,boleto,paid,2024,8,3
O00149,C0044,2024-07-30 00:00:00,461.12,boleto,refunded,2024,7,3
O00150,C0015,2024-09-21 00:00:00,83.48,debit_card,paid,2024,9,3
O00151,C0042,2024-08-22 00:00:00,132.93,credit_card,paid,2024,8,3
O00152,C0020,2024-09-02 00:00:00,132.41,pix,refunded,2024,9,3
O00153,C0009,2024-08-19 00:00:00,444.62,debit_card,refunded,2024,8,3
O00154,C0048,2024-07-20 00:00:00,844.01,credit_card,cancelled,2024,7,3
O00156,C0045,2024-08-17 00:00:00,225.97,debit_card,paid,2024,8,3
O00157,C0055,2024-08-16 00:00:00,116.9,boleto,refunded,2024,8,3
O00158,C0058,2024-09-21 00:00:00,356.77,debit_card,paid,2024,9,3
O00159,C0013,2024-07-16 00:00:00,902.83,debit_card,paid,2024,7,3
O00160,C0043,2024-07-28 00:00:00,618.58,credit_card,paid,2024,7,3
O00161,C0051,2024-08-12 00:00:00,250.3,pix,refunded,2024,8,3
O00162,C0014,2024-07-09 00:00:00,792.58,pix,refunded,2024,7,3
O00163,C0014,2024-07-30 00:00:00,328.92,pix,refunded,2024,7,3
O00164,C0001,2024-08-05 00:00:00,819.03,pix,paid,2024,8,3
O00165,C0035,2024-08-02 00:00:00,763.63,credit_card,paid,2024,8,3
O00167,C0021,2024-07-03 00:00:00,186.18,credit_card,paid,2024,7,3
O00168,C0048,2024-08-23 00:00:00,511.63,credit_card,cancelled,2024,8,3
O00169,C0029,2024-08-16 00:00:00,499.75,credit_card,cancelled,2024,8,3
O00170,C0033,2024-07-29 00:00:00,899.51,credit_card,refunded,2024,7,3
O00171,C0020,2024-08-28 00:00:00,620.09,credit_card,paid,2024,8,3
O00172,C0031,2024-08-21 00:00:00,419.3,credit_card,cancelled,2024,8,3
O00173,C0046,2024-08-26 00:00:00,92.98,credit_card,paid,2024,8,3
O00174,C0039,2024-07-19 00:00:00,85.76,boleto,refunded,2024,7,3
O00175,C0041,2024-09-13 00:00:00,532.23,boleto,cancelled,2024,9,3
O00176,C0039,2024-09-06 00:00:00,297.78,debit_card,paid,2024,9,3
O00177,C0051,2024-09-28 00:00:00,130.83,pix,cancelled,2024,9,3
O00178,C0029,2024-07-30 00:00:00,407.78,debit_card,cancelled,2024,7,3
O00179,C0027,2024-07-13 00:00:00,314.11,boleto,paid,2024,7,3
O00180,C0024,2024-07-20 00:00:00,660.31,debit_card,paid,2024,7,3
O00011,C0043,2024-07-11 00:00:00,287.5,boleto,paid,2024,7,3
O00026,C0004,2024-07-27 00:00:00,795.42,debit_card,refunded,2024,7,3
O00041,C0045,2024-08-02 00:00:00,734.38,pix,refunded,2024,8,3
O00076,C0028,2024-08-09 00:00:00,999.99,credit_card,refunded,2024,8,3
